ITEM ,CATEGORY ,SUB-CATEGORY ,CPU CODE 
COMPUTER SYSTEMS    ,0,* ,*                                            
DESKTOP COMPUTERS   ,0,1,*                                            
DESKTOP SYSTEM      ,0,1,DESKTP                                       
COMPUTER/MNTR UNIT  ,0,1,I-COMP                                       
SMALL/SLIM SYSTEM   ,0,1,SFF                                          
TOWER SYSTEM        ,0,1,TOWER                                        
WORKSTATIONS        ,0,4,*                                            
CORE 2 WORKSTATION  ,0,4,W-CORE                                       
OPTERON-BASED WORKST,0,4,W-OPT                                        
P4-BASED WORKST     ,0,4,W-P4                                         
XEON-BASED WORKST   ,0,4,W-XEON                                       
SERVER COMPUTERS    ,0,5,*                                            
BLADE CPNT          ,0,5,B-CPNT                                       
BLADE SERVER        ,0,5,B-SVR                                        
TOWER SERVER        ,0,5,P-SVR                                        
RACKMOUNT SERVER    ,0,5,RM-SVR                                       
PORTABLE COMPUTERS  ,0,11,*                                            
CHROMEBOOK          ,0,11,CHRMBK                                       
NETBOOKS            ,0,11,NETBK                                        
NOTEBOOK            ,0,11,NOTEBK                                       
TABLET PC           ,0,11,TAB-PC                                       
TABLETS             ,0,11,TABSYS                                       
PERSONAL DIGITAL AST,0,21,*                                            
BAREBONES SYSTEMS   ,0,32,*                                            
BAREBONE NOTEBOOK   ,0,32,BB-NB                                        
BAREB PC            ,0,32,BB-PC                                        
BAREB SVR           ,0,32,BB-SVR                                       
THIN CLIENT/TERMINAL,0,34,*                                            
ALL IN ONE THIN CLIE,0,34,A-CLNT                                       
THIN CLIENT TERMINAL,0,34,T-CLNT                                       
GENERAL PURPOSE TERM,0,34,TERM                                         
TERMINAL COMPONENT  ,0,34,TERM-C                                       
POWER/RACK EQUIPMENT,1,* ,*                                            
POWER EQUIPMENT     ,1,1,*                                            
GENERATORS          ,1,1,GEN                                          
POWER INVERTER      ,1,1,INVERT                                       
LINE CONDITIONER    ,1,1,LINE-C                                       
POWER DISTRIB UNIT  ,1,1,PDU                                          
POWER STRIP         ,1,1,STRIP                                        
SURGE PROTECTOR     ,1,1,SURGE                                        
UPS                 ,1,1,UPS                                          
UPS BATTERY         ,1,1,UPS-B                                        
UPS COMPONENT       ,1,1,UPS-C                                        
UPS MANAGEMENT      ,1,1,UPS-M                                        
UPS CABLE           ,1,1,UPSCBL                                       
VOLTAGE REGULATOR   ,1,1,V-REG                                        
RACK EQUIPMENT      ,1,3,*                                            
POWER DISTRIB UNIT  ,1,3,PDU                                          
RACK ENCLOSURE      ,1,3,RACK                                         
RACK ENCLOSURE CPNT ,1,3,RACK-C                                       
STORAGE DEVICES     ,2,* ,*                                            
FLOPPY/REMOVABLE DRV,2,1,*                                            
FLOPPY DRIVE        ,2,1,FLOPPY                                       
MAGNETO OPTICAL DRV ,2,1,MAGOPT                                       
REMOVABLE MEDIA DRV ,2,1,REMOV                                        
HARD DRIVES         ,2,11,*                                            
MULTI-INTERFACE HD  ,2,11,COMBHD                                       
EIDE HARD DRIVE     ,2,11,EIDEHD                                       
FIBRE CHANNEL HD    ,2,11,FIBRHD                                       
FIREWIRE HD         ,2,11,FIREHD                                       
PCMCIA HARDDRIVE    ,2,11,PCMCHD                                       
SAS HARD DRIVE      ,2,11,SASHD                                        
SERIAL ATA HD       ,2,11,SATAHD                                       
SCSI HARD DRIVE     ,2,11,SCSIHD                                       
THUNDERBOLT HD      ,2,11,TBLTHD                                       
USB HARD DRIVE      ,2,11,USBHD                                        
BACKUP DEVICES      ,2,21,*                                            
BACKUP ACCL         ,2,21,BK-ACL                                       
HDD DUPLICATOR      ,2,21,HDDUPL                                       
LIBRARIES           ,2,21,LIBRAR                                       
TAPE DRIVE          ,2,21,TAPEDR                                       
CD/DVD OPTICAL DRIVE,2,31,*                                            
BLURAY OPTICAL DRIVE,2,31,BLURAY                                       
CD/CD-RW DRIVE      ,2,31,CD                                           
COMBO CD/DVD DRIVE  ,2,31,CD/DVD                                       
CD/DVD DUPL         ,2,31,DUPLIC                                       
DVD DRIVE           ,2,31,DVD                                          
CD/DVD JUKE         ,2,31,JUKTWR                                       
NETWORKED STORAGE   ,2,37,*                                            
NAS COMPONEN        ,2,37,NAS-CP                                       
NAS DISK SYS        ,2,37,NAS-DS                                       
NAS HARD DRIVES     ,2,37,NAS-HD                                       
SOLID STATE DISKS   ,2,38,*                                            
FIBER SSD           ,2,38,FCSSD                                        
IDE SOLID STATE DISK,2,38,IDESSD                                       
MSATA SOLID STATE   ,2,38,MSATSD                                       
MULTI-INTERFACE SSD ,2,38,MULSSD                                       
PCI EXPRESS SSD     ,2,38,PCISSD                                       
SAS SOLID STATE DISK,2,38,SASSSD                                       
SATA SSD            ,2,38,SATSSD                                       
THUNDERBOLT SSD     ,2,38,TBSSD                                        
USB SOLID STATE DISK,2,38,USBSSD                                       
DRIVE CONTROLLERS   ,2,71,*                                            
MULTI-INTERFACE CONT,2,71,COMB-C                                       
EIDE DRIVE CTLR     ,2,71,EIDE-C                                       
EIDE RAID CTLR      ,2,71,EIDE-R                                       
SAS DISK CONTROLLER ,2,71,SAS-C                                        
SAS RAID CONTROLLER ,2,71,SAS-R                                        
SATA DRIVE CTLR     ,2,71,SATA-C                                       
SATA RAID           ,2,71,SATA-R                                       
SCSI DRIVE CTLR     ,2,71,SCSI-C                                       
SCSI RAID           ,2,71,SCSI-R                                       
DRIVE ENCLOSURES    ,2,81,*                                            
DISK ENCLOSURE      ,2,81,DR-ENC                                       
REMOVABLE FRAME/TRAY,2,81,FR-CAR                                       
RAID ENCLOSURE      ,2,81,RAID-E                                       
FLASH MEMORY DEVICES,2,91,*                                            
FLASH ADAPTER       ,2,91,FL-ADP                                       
FLASH READER/CARD   ,2,91,FL-BND                                       
FLASH CARD CASE     ,2,91,FL-CAS                                       
FLASH MEMORY CARD   ,2,91,FL-CRD                                       
FLASH READER/WRITER ,2,91,FL-RDR                                       
PORTABLE FLASH DRIVE,2,91,USB-FL                                       
SAN INFRASTRUCTURE  ,2,95,*                                            
FC/ISCSI DISK SYST  ,2,95,FCISAN                                       
FIBRE SAN DISK SYST ,2,95,FCSAN                                        
FIBRE HBAS          ,2,95,FIBR-C                                       
STORAGE GBIC/SFP    ,2,95,GBIC                                         
ISCSI SAN DISK SYST ,2,95,ISAN                                         
ISCSI CONTROLLER    ,2,95,ISCSI                                        
SAN COMPONEN        ,2,95,SAN-CP                                       
SAN DISK SYS        ,2,95,SAN-DS                                       
STORAGE HUB         ,2,95,SAN-HB                                       
STORAGE ROUTER      ,2,95,SAN-RT                                       
STORAGE SWITCH      ,2,95,SAN-SW                                       
SAN HARD DRIVES     ,2,95,SANHD                                        
UNIFIED NTWK STORAGE,2,96,*                                            
ENET/FC DISK SYST   ,2,96,EFC-DS                                       
ENET UNIFIED SYSTEMS,2,96,ETH-DS                                       
UNIFIED STORAGE CPNT,2,96,UNI-CP                                       
DISPLAYS            ,3,* ,*                                            
COMPUTER MONITORS   ,3,3,*                                            
CRT MONITORS        ,3,3,CRT                                          
LCD MONITOR         ,3,3,LCD                                          
TOUCHSCREEN MONITORS,3,4,*                                            
LCD TOUCHSCREEN MNTR,3,4,LCDTCH                                       
TV DISPLAYS         ,3,5,*                                            
LCD/TV MONTR        ,3,5,LCD-TV                                       
PLASMA TV           ,3,5,PLASTV                                       
TELEVISION          ,3,5,TV                                           
MEDICAL DISPLAYS    ,3,9,*                                            
POINT OF CARE DISPLY,3,9,CARDIS                                       
DIAG IMG DIS        ,3,9,DI-DIS                                       
PATIENT MNTR DISPLAY,3,9,PATDIS                                       
COMMUNICATIONS      ,4,* ,*                                            
MODEMS/CONNECTIVITY ,4,1,*                                            
CABLE/DSL MODEM     ,4,1,BMODEM                                       
COMBO MODEM/NIC     ,4,1,CMODEM                                       
DIAL-UP MODEM       ,4,1,DMODEM                                       
ISDN & SYNC ADAPTER ,4,1,ISDNAD                                       
LINE SHARING DEVICE ,4,1,LINSHR                                       
MULTI-MODEM DEVICE  ,4,1,MM-BRD                                       
REMOTE ACCESS MODEM ,4,1,RAS                                          
RACKMOUNT MODEMS    ,4,1,RM-MDM                                       
VHF RADIOS & COMM   ,4,2,*                                            
SCANNERS            ,4,2,SCAN                                         
VHF RADIOS          ,4,2,VHFRAD                                       
2-WAY RADIOS        ,4,2,2-WAY                                        
VOICE MAIL/FAX EQUIP,4,3,*                                            
INTELLIGENT FAX BRD ,4,3,FAXBRD                                       
FAX SERVER          ,4,3,FAXSVR                                       
VOICE MAIL SYST CPNT,4,3,VM-CP                                        
VOICE MAIL SYST SW  ,4,3,VM-SW                                        
VOICE MAIL SYST     ,4,3,VM-SYS                                       
VOICE BOARD         ,4,3,VOCBRD                                       
PHONE SYSTEMS       ,4,21,*                                            
IP PHONES           ,4,21,IP-PH                                        
PHONE SYSTEM CARD   ,4,21,PH-CP                                        
PHONE STATION SET   ,4,21,PH-SET                                       
PHONE SYSTEM SW     ,4,21,PH-SW                                        
PBX/IP-PBX SYSTEM   ,4,21,PH-SYS                                       
IP TELEPHONY        ,4,23,*                                            
DSU/CSU'S           ,4,31,*                                            
CSU/DSU/SDU CPNT    ,4,31,CSU-CP                                       
CSU/DSU/SDU DEVICE  ,4,31,CSUDEV                                       
MULTIPLEXORS        ,4,33,*                                            
BROADBAND LOOP CARR ,4,33,BLC                                          
DSL ACCESS MUX      ,4,33,DSLAM                                        
MULTIPLEXORS        ,4,33,MUX                                          
MULTIPLEXOR CPNT    ,4,33,MUX-CP                                       
OPTICAL TRANSPORT   ,4,33,OPT                                          
MOBILITY COMM DEVICE,4,41,*                                            
MOBILE CELL MODEMS  ,4,41,CELMOD                                       
